link_text,url,section
Online Teaching,https://www.sab.ac.lk/online-video-tutorials,navigation
Procurement System,http://online.sab.ac.lk/procurement/,navigation
Exam Results,https://www.sab.ac.lk/results,navigation
Downloads,https://www.sab.ac.lk/downloads,navigation
Notices,https://www.sab.ac.lk/notices,navigation
Vacancies,https://www.sab.ac.lk/vacancies,navigation
Staff Login,https://www.sab.ac.lk/staff-directory/login.php,navigation
Email,https://mail.google.com/mail/?tab=rm&ogbl,navigation
VLE,http://vle.sab.ac.lk/,navigation
Contact Us,https://www.sab.ac.lk/contact,navigation
About us,https://www.sab.ac.lk/about-the-university,navigation
Vision & Mission,https://www.sab.ac.lk/vision-mission,navigation
History,https://www.sab.ac.lk/history,navigation
Contact us,https://www.sab.ac.lk/contact,navigation
Overview,https://www.sab.ac.lk/overview,navigation
Graduate Profile,https://www.sab.ac.lk/graduate_profile,navigation
Chancellor,https://www.sab.ac.lk/chancellor,navigation
Vice-Chancellor,https://www.sab.ac.lk/vice-chancellor,navigation
Past Chancellors,https://www.sab.ac.lk/past-chancellors,navigation
Past Vice-Chancellors,https://www.sab.ac.lk/past-vice-chancellors,navigation
The Council,https://www.sab.ac.lk/the-council,navigation
The Senate,https://www.sab.ac.lk/the-senate,navigation
Action Plans,https://www.sab.ac.lk/action_plan_2023_q2,navigation
Cooperate Plans,https://www.sab.ac.lk/cooporate_plan_2014-2018,navigation
Agricultural Sciences,https://www.sab.ac.lk/agri,navigation
Applied Sciences,https://www.sab.ac.lk/app,navigation
Computing,https://www.sab.ac.lk/computing,navigation
Geomatics,https://www.sab.ac.lk/geo,navigation
Graduate Studies,https://www.sab.ac.lk/fgs,navigation
Management Studies,https://www.sab.ac.lk/mgmt,navigation
Medicine,https://www.sab.ac.lk/med,navigation
Social Sciences & Languages,https://www.sab.ac.lk/fssl,navigation
Technology,https://www.sab.ac.lk/tech,navigation
Centre for Computer Studies (CCS),https://www.sab.ac.lk/ccs_home,navigation
Centre for Gender Equity and Equality (GEE),https://www.sab.ac.lk/centre-for-gender-equity-and-equality,navigation
Centre for Indigenous Knowledge and Community Studies (CIKCS),https://www.sab.ac.lk/cikcs,navigation
Centre for Open and Distance Learning (CODL),https://www.sab.ac.lk/codl/,navigation
Centre for Quality Assurance (CQA),https://www.sab.ac.lk/iqac,navigation
Centre for Research and Knowledge Dissemination (CRKD),https://www.sab.ac.lk/crkd/,navigation
Staff Development Center (SDC),https://www.sab.ac.lk/sdc/,navigation
Career Guidance Unit (CGU),https://www.sab.ac.lk/cgu,navigation
Department of Physical Education,https://www.sab.ac.lk/physical-education,navigation
University Business Linkage Cell (UBLC),https://www.sab.ac.lk/ublc,navigation
University Research Grants,https://www.sab.ac.lk/university-research-grants,navigation
Accelerating Higher Education Expansion and Development (AHEAD),https://www.sab.ac.lk/ahead,navigation
Erasmus Project,https://www.sab.ac.lk/erasmus_project,navigation
Academic Establishment,https://www.sab.ac.lk/academic-establishment,navigation
Administration,https://www.sab.ac.lk/administration,navigation
Capital Works,https://www.sab.ac.lk/capital-works-planning,navigation
Civil Engineering,https://www.sab.ac.lk/civil_engineering,navigation
General Administration,https://www.sab.ac.lk/general-administration,navigation
Non Academic Establishment,https://www.sab.ac.lk/non-academic-establishment,navigation
Registrar Office,https://www.sab.ac.lk/registrar_office,navigation
Student Affairs,https://www.sab.ac.lk/student-affairs,navigation
Examinations Division,https://www.sab.ac.lk/examination_division,navigation
Finance Division,https://www.sab.ac.lk/finance-division,navigation
Internal Audit Division,https://www.sab.ac.lk/internal_audit_division,navigation
Administration,https://www.sab.ac.lk/administration,navigation
Directors,https://www.sab.ac.lk/directors,navigation
Finance,https://www.sab.ac.lk/finance,navigation
Certificate Courses,https://www.sab.ac.lk/codl/certificate-courses,navigation
Certificate Courses,https://www.sab.ac.lk/codl/certificate-courses,navigation
Diploma Courses,https://www.sab.ac.lk/codl/diploma-courses,navigation
Higher Diploma,https://www.sab.ac.lk/codl/higher-diploma-programmes,navigation
Undergraduate Programmes,https://www.sab.ac.lk/codl/degree-in-bachelor-of-arts-external,navigation
PG Certificates,https://www.sab.ac.lk/fgs/pg-certificates,navigation
PG Diploma,https://www.sab.ac.lk/fgs/pg-diplomas,navigation
Masters,https://www.sab.ac.lk/fgs/masters,navigation
Research Higher Degree,https://www.sab.ac.lk/fgs/research-higher-degrees,navigation
Examination By-Laws,https://www.sab.ac.lk/by_laws,navigation
Student Counseling,https://www.sab.ac.lk/fssl/sith-arana-home,navigation
Student Discipline,https://www.sab.ac.lk/common-guidelines-student-discipline,navigation
Buddhist Society,https://www.sab.ac.lk/bs,navigation
Sitharana Psychological Counseling Centre,https://www.sab.ac.lk/fssl/sith-arana-home,navigation
Reservation System,http://smartrsv.sab.ac.lk/,navigation
Sitharana Psychological Counseling Center,http://sitharana.sab.ac.lk/,navigation
Prof. Dayananda Somasundara Auditorium Reservation,http://auditorium.sab.ac.lk/,navigation
Academic Establishment Staff,http://smartest.sab.ac.lk/,navigation
Student Portal,http://sms.sab.ac.lk/,navigation
Mahapola/ Bursary Dashboard,http://smartmbd.sab.ac.lk/,navigation
26th General Convocation Registration,http://smartgcr.sab.ac.lk/,navigation
About Us,https://www.sab.ac.lk/about-the-university,navigation
Vision & Mission,https://www.sab.ac.lk/vision-mission,navigation
History,https://www.sab.ac.lk/history,navigation
Chancellor,https://www.sab.ac.lk/chancellor,navigation
Vice Chancellor,https://www.sab.ac.lk/vice-chancellor,navigation
Overview,https://www.sab.ac.lk/overview,navigation
Agricultural Sciences,https://www.sab.ac.lk/agri,navigation
Applied Sciences,https://www.sab.ac.lk/app,navigation
Computing,https://www.sab.ac.lk/computing,navigation
Geomatics,https://www.sab.ac.lk/geo,navigation
Graduate Studies,https://www.sab.ac.lk/fgs,navigation
Management Studies,https://www.sab.ac.lk/mgmt,navigation
Medicine,https://www.sab.ac.lk/med,navigation
Social Sciences & Languages,https://www.sab.ac.lk/fssl,navigation
Technology,https://www.sab.ac.lk/tech,navigation
Journal of Agricultural Sciences,https://www.sab.ac.lk/agri-journal,navigation
Akyana - Narrations,https://www.sab.ac.lk/cikcs/akyana_narrations,navigation
Newsletter,https://www.sab.ac.lk/crkd/newsletter,navigation
Sinhala Journal,https://www.sab.ac.lk/crkd/sinhala-journal-about,navigation
SUSL Journal,https://www.sab.ac.lk/crkd/susl-journal-about,navigation
Online Journal,https://suslj.sljol.info/,navigation
Centre for Computer Studies,https://www.sab.ac.lk/center-for-computer-studies,navigation
Centre for Gender Equity and Equality,https://www.sab.ac.lk/centre-for-gender-equity-and-equality,navigation
Centre for Indigenous Knowledge and Community Studies,https://www.sab.ac.lk/cikcs,navigation
Centre for Open and Distance Learning,https://www.sab.ac.lk/codl,navigation
Centre for Quality Assurance,https://www.sab.ac.lk/iqac,navigation
Centre for Research and Knowledge Dissemination,https://www.sab.ac.lk/crkd,navigation
Staff Development Center,https://www.sab.ac.lk/sdc,navigation
Career Guidance Unit,https://www.sab.ac.lk/career-guidance-unit,navigation
Department of Physical Education,https://www.sab.ac.lk/physical-education,navigation
University Business Linkage Cell,https://www.sab.ac.lk/ublc,navigation
Ministry of Higher Education,https://mohe.gov.lk/index.php?lang=en,navigation
University Grants Commission,https://www.ugc.ac.lk/,navigation
Ragging Complaint Portal,https://eugc.ac.lk/rag/,navigation
Maps & Directions,https://goo.gl/maps/3HXgnoqfSe3VeKPn9,navigation
Academic Establishment,https://www.sab.ac.lk/academic-establishment,navigation
Capital Works,https://www.sab.ac.lk/capital-works-planning,navigation
Civil Engineering,https://www.sab.ac.lk/civil_engineering,navigation
Examinations Division,https://www.sab.ac.lk/examination_division,navigation
Finance Division,https://www.sab.ac.lk/finance-division,navigation
General Administration,https://www.sab.ac.lk/administration-officers,navigation
Non Academic Establishment,https://www.sab.ac.lk/non-academic-establishment,navigation
Registrar Office,https://www.sab.ac.lk/registrar_office,navigation
Student Affairs,https://www.sab.ac.lk/student-affairs,navigation
Online Teaching,https://www.sab.ac.lk/online-video-tutorials,content
Procurement System,http://online.sab.ac.lk/procurement/,content
Exam Results,https://www.sab.ac.lk/results,content
Downloads,https://www.sab.ac.lk/downloads,content
Notices,https://www.sab.ac.lk/notices,content
Vacancies,https://www.sab.ac.lk/vacancies,content
Staff Login,https://www.sab.ac.lk/staff-directory/login.php,content
Email,https://mail.google.com/mail/?tab=rm&ogbl,content
VLE,http://vle.sab.ac.lk/,content
Contact Us,https://www.sab.ac.lk/contact,content
Special Notices,https://www.sab.ac.lk/notices,content
Digital Library,http://repo.lib.sab.ac.lk:8080/xmlui/,content
Postgraduate,https://www.sab.ac.lk/fgs,content
Virtual Learning Environment,http://vle.sab.ac.lk/,content
Exam Results,https://www.sab.ac.lk/results,content
CODL,https://www.sab.ac.lk/codl,content
Online Payment,https://www.sab.ac.lk/payment-boc/,content
Sith Arana Counselling Unit,http://sitharana.sab.ac.lk/,content
